timestamp,mob_count,mob_tick_duration_ms
1741199724784,0,0.00
1741199725298,1,0.00
1741199725772,1,0.00
1741199726305,2,0.00
1741199726786,2,0.00
1741199727284,2,0.00
1741199727787,2,0.00
1741199728286,2,0.00
1741199728828,3,0.00
1741199729298,3,0.00
1741199729802,3,0.00
1741199730347,4,0.00
1741199730819,4,0.00
1741199731320,4,0.00
1741199731847,4,0.00
1741199732316,4,0.00
1741199733094,4,0.00
1741199733339,4,0.00
1741199733917,4,0.00
1741199734367,5,0.00
1741199734855,5,0.00
1741199735343,5,0.00
1741199735832,4,0.00
1741199736410,5,0.00
1741199737021,6,0.00
1741199737385,6,0.00
1741199737924,7,0.00
1741199738384,6,0.00
1741199738886,6,0.00
1741199739382,6,0.00
1741199739851,5,0.00
1741199740393,5,0.00
1741199740846,5,0.00
1741199741346,5,0.00
1741199741935,5,0.00
1741199742574,7,0.00
1741199743027,7,0.00
1741199743533,7,0.00
1741199743987,8,0.00
1741199744502,8,0.00
1741199745151,7,0.00
1741199745901,8,0.00
1741199746297,7,0.00
1741199746707,7,0.00
1741199747352,8,0.00
1741199747921,8,0.00
1741199748458,8,0.00
1741199748839,8,0.00
1741199749356,9,0.00
1741199749799,9,0.00
1741199750179,9,0.00
1741199750754,10,0.00
1741199751168,10,0.00
1741199751685,10,0.00
1741199752261,10,0.00
1741199752787,11,0.00
1741199753173,11,0.00
1741199753828,11,0.00
1741199754280,11,0.00
1741199754789,11,0.00
1741199755156,11,0.00
1741199755718,12,0.00
1741199756317,12,0.00
1741199756718,12,0.00
1741199757197,12,0.00
1741199758120,13,0.00
1741199758670,13,0.00
1741199759240,13,0.00
1741199759597,11,0.00
1741199760082,11,0.00
1741199760679,11,0.00
1741199761321,12,0.00
1741199761723,12,0.00
1741199762061,11,0.00
1741199762598,11,0.00
1741199763037,11,0.00
1741199763524,11,0.00
1741199764072,11,0.00
1741199764642,11,0.00
1741199765262,11,0.00
1741199765720,11,0.00
1741199766309,11,0.00
1741199766646,11,0.00
1741199767142,11,0.00
1741199767680,11,0.00
1741199768100,11,0.00
1741199768903,11,0.00
1741199769642,11,0.00
1741199770037,12,0.00
1741199770613,13,0.00
1741199771113,12,0.00
1741199771671,12,0.00
1741199772413,12,0.00
1741199773183,13,0.00
1741199773860,13,0.00
1741199774693,14,0.00
1741199775654,14,0.00
1741199776762,13,0.00
1741199778551,14,0.00
1741199780014,14,0.00
1741199781598,14,0.00
1741199782953,14,0.00
1741199784385,13,0.00
1741199785917,13,0.00
1741199787866,13,0.00
1741199789925,13,0.00
1741199791496,13,0.00
1741199793530,13,0.00
1741199794801,13,0.00
1741199796158,13,0.00
1741199797578,13,0.00
1741199799186,13,0.00
1741199801350,13,0.00
1741199802750,13,0.00
1741199803904,14,0.00
1741199804486,14,0.00
1741199804923,14,0.00
1741199805400,14,0.00
1741199806339,15,0.00
1741199807225,15,0.00
1741199807694,14,0.00
1741199808151,14,0.00
1741199808624,14,0.00
1741199809129,13,0.00
1741199809652,13,0.00
1741199810169,13,0.00
1741199810596,13,0.00
1741199811092,13,0.00
1741199811644,13,0.00
1741199812319,13,0.00
1741199812803,13,0.00
1741199813092,13,0.00
1741199813595,13,0.00
1741199814146,13,0.00
1741199814688,14,0.00
1741199815136,14,0.00
1741199815631,14,0.00
1741199816079,14,0.00
1741199816770,14,0.00
1741199817229,14,0.00
1741199817677,15,0.00
1741199818153,15,0.00
1741199818652,15,0.00
1741199819103,14,0.00
1741199819795,15,0.00
1741199820288,15,0.00
1741199820683,15,0.00
1741199821155,15,0.00
1741199821628,14,0.00
1741199822606,14,0.00
1741199823038,14,0.00
1741199823470,15,0.00
1741199823955,15,0.00
1741199824427,15,0.00
1741199825045,15,0.00
1741199825925,16,0.00
1741199826357,16,0.00
1741199827027,16,0.00
1741199827540,15,0.00
1741199827904,15,0.00
1741199828318,15,0.00
1741199829004,15,0.00
1741199829455,15,0.00
1741199830278,15,0.00
1741199831105,15,0.00
1741199831720,15,0.00
1741199832523,15,0.00
1741199833349,15,0.00
1741199834591,15,0.00
1741199836359,15,0.00
1741199838065,15,0.00
1741199839049,15,0.00
1741199839764,15,0.00
1741199840180,15,0.00
1741199840802,15,0.00
1741199841124,15,0.00
1741199841643,15,0.00
1741199842155,15,0.00
1741199842781,16,0.00
1741199843125,16,0.00
1741199843664,16,0.00
1741199844131,16,0.00
1741199844614,16,0.00
1741199845188,16,0.00
1741199846175,16,0.00
1741199847224,16,0.00
1741199847616,16,0.00
1741199848060,16,0.00
1741199848496,16,0.00
1741199849410,17,0.00
1741199850103,17,0.00
1741199850415,17,0.00
1741199850933,17,0.00
1741199851389,17,0.00
1741199851890,17,0.00
1741199852458,17,0.00
1741199852896,17,0.00
1741199853357,17,0.00
1741199853856,17,0.00
1741199854343,17,0.00
1741199854926,17,0.00
1741199855371,17,0.00
1741199855901,17,0.00
1741199856367,17,0.00
1741199856895,17,0.00
1741199857465,17,0.00
1741199857862,17,0.00
1741199858624,17,0.00
1741199859559,18,0.00
1741199861262,18,0.00
1741199872306,0,0.00
1741199872883,1,0.00
1741199873310,1,0.00
1741199873824,1,0.00
1741199874308,1,0.00
1741199874857,2,0.00
1741199875349,2,0.00
1741199875958,4,0.00
1741199876682,4,0.00
1741199876921,4,0.00
1741199877411,4,0.00
1741199877894,4,0.00
1741199878506,4,0.00
1741199878898,4,0.00
1741199879718,5,0.00
1741199880199,5,0.00
1741199880660,5,0.00
1741199880992,5,0.00
1741199881447,5,0.00
1741199881945,5,0.00
1741199882581,7,0.00
1741199883263,8,0.00
1741199883621,7,0.00
1741199884094,7,0.00
1741199884738,9,0.00
1741199885587,10,0.00
1741199886230,10,0.00
1741199886751,10,0.00
1741199887261,10,0.00
1741199887746,10,0.00
1741199888365,11,0.00
1741199889085,11,0.00
1741199889706,11,0.00
1741199890291,11,0.00
1741199890827,11,0.00
1741199891433,12,0.00
1741199892019,11,0.00
1741199892614,12,0.00
1741199893255,12,0.00
1741199893827,12,0.00
1741199894363,11,0.00
1741199894898,11,0.00
1741199895753,12,0.00
1741199896311,12,0.00
1741199896867,13,0.00
1741199897502,13,0.00
1741199898075,13,0.00
1741199899068,13,0.00
1741199900110,13,0.00
1741199901355,13,0.00
1741199902375,13,0.00
1741199903000,13,0.00
1741199903764,13,0.00
1741199904448,14,0.00
1741199905145,15,0.00
1741199905982,15,0.00
1741199906663,15,0.00
1741199907533,16,0.00
1741199908418,17,0.00
1741199909256,17,0.00
1741199909939,17,0.00
1741199911125,17,0.00
1741199912026,18,0.00
1741199912945,18,0.00
1741199913785,17,0.00
1741199914685,17,0.00
1741199915319,16,0.00
1741199916066,16,0.00
1741199916715,16,0.00
1741199917548,18,0.00
1741199918238,18,0.00
1741199919060,17,0.00
1741199920083,18,0.00
1741199921166,17,0.00
1741199921943,17,0.00
1741199922682,17,0.00
1741199923413,17,0.00
1741199924141,17,0.00
1741199925006,17,0.00
1741199925895,17,0.00
1741199927082,18,0.00
1741199928131,18,0.00
1741199929047,18,0.00
1741199929969,18,0.00
1741199930964,19,0.00
1741199931870,18,0.00
1741199932731,19,0.00
1741199933835,19,0.00
1741199934968,19,0.00
1741199935943,20,0.00
1741199936866,20,0.00
1741199937807,21,0.00
1741199938722,21,0.00
1741199939625,21,0.00
1741199940899,22,0.00
1741199942141,22,0.00
1741199943245,22,0.00
1741199944241,22,0.00
1741199945029,22,0.00
1741199946232,23,0.00
1741199947271,23,0.00
1741199948459,24,0.00
1741199949522,24,0.00
1741199950519,24,0.00
1741199951639,25,0.00
1741199952922,25,0.00
1741199954121,23,0.00
1741199955171,22,0.00
1741199955877,22,0.00
1741199956535,22,0.00
1741199957387,23,0.00
1741199958237,24,0.00
1741199959051,24,0.00
1741199959867,24,0.00
1741199960621,23,0.00
1741199961579,25,0.00
1741199962403,25,0.00
1741199963238,24,0.00
1741199964314,24,0.00
1741199965220,25,0.00
1741199966030,25,0.00
1741199967213,25,0.00
1741199968496,25,0.00
1741199969714,24,0.00
1741199971747,24,0.00
1741199973171,25,0.00
1741199973910,25,0.00
1741199975228,25,0.00
1741199976780,25,0.00
1741199979059,25,0.00
1741199991953,1,0.00
1741199992422,1,0.00
1741199992976,2,0.00
1741199993511,3,0.00
1741199994016,3,0.00
1741199994491,3,0.00
1741199995001,3,0.00
1741199995500,3,0.00
1741199995985,3,0.00
1741199996489,3,0.00
1741199997122,3,0.00
1741199997535,3,0.00
1741199998066,3,0.00
1741199998738,4,0.00
1741199999136,4,0.00
1741199999659,4,0.00
1741200000201,4,0.00
1741200000915,4,0.00
1741200001405,4,0.00
1741200001841,4,0.00
1741200002309,4,0.00
1741200003187,6,0.00
1741200003388,6,0.00
1741200003945,7,0.00
1741200004380,6,0.00
1741200004878,6,0.00
1741200005438,6,0.00
