tick_number,timestamp,total_tick_time_ms
20,1741199881949,159.99
21,1741199882584,294.76
22,1741199883268,477.93
23,1741199883625,334.52
24,1741199884113,322.42
25,1741199884742,450.74
26,1741199885591,798.19
27,1741199886234,642.32
28,1741199886756,521.47
29,1741199887264,507.86
30,1741199887750,469.79
31,1741199888369,589.23
32,1741199889088,718.14
33,1741199889711,621.78
34,1741199890295,565.89
35,1741199890831,535.31
36,1741199891437,605.18
37,1741199892039,602.13
38,1741199892618,578.02
39,1741199893262,643.25
40,1741199893831,543.44
41,1741199894367,535.28
42,1741199894902,534.53
43,1741199895758,856.07
44,1741199896315,526.04
45,1741199896871,555.81
46,1741199897507,634.58
47,1741199898079,571.48
48,1741199899075,970.64
49,1741199900114,1038.67
50,1741199901360,1244.62
51,1741199902379,986.56
52,1741199903004,624.61
53,1741199903768,762.78
54,1741199904451,682.07
55,1741199905149,697.33
56,1741199905986,832.05
57,1741199906667,680.45
58,1741199907537,869.35
59,1741199908423,885.94
60,1741199909260,836.03
61,1741199909944,683.51
62,1741199911130,1164.58
63,1741199912032,901.03
64,1741199912949,916.47
65,1741199913789,839.57
66,1741199914689,899.47
67,1741199915323,633.40
68,1741199916070,747.24
69,1741199916722,650.46
70,1741199917551,828.22
71,1741199918242,690.20
72,1741199919064,789.11
73,1741199920087,1008.43
74,1741199921171,1075.92
75,1741199921947,759.69
76,1741199922687,740.24
77,1741199923416,700.22
78,1741199924144,717.78
79,1741199925009,864.60
80,1741199925900,889.71
81,1741199927086,1185.56
82,1741199928135,1048.78
83,1741199929051,915.20
84,1741199929972,890.18
85,1741199930968,994.62
86,1741199931875,906.97
87,1741199932734,858.84
88,1741199933839,1104.05
89,1741199934972,1131.11
90,1741199935947,974.86
91,1741199936870,921.44
92,1741199937812,929.95
93,1741199938728,915.82
94,1741199939632,902.19
95,1741199940902,1270.31
96,1741199942144,1241.27
97,1741199943251,1105.48
98,1741199944245,993.52
99,1741199945039,793.50
100,1741199946236,1195.52
101,1741199947275,999.41
102,1741199948462,1187.01
103,1741199949529,1066.58
104,1741199950522,991.85
105,1741199951643,1082.79
106,1741199952926,1281.95
107,1741199954124,1198.21
108,1741199955175,1050.53
109,1741199955881,704.31
110,1741199956539,657.30
111,1741199957392,812.42
112,1741199958241,809.05
113,1741199959055,773.47
114,1741199959872,782.04
115,1741199960625,712.57
116,1741199961583,957.69
117,1741199962408,824.36
118,1741199963242,832.89
119,1741199964328,1085.85
120,1741199965224,894.77
121,1741199966053,829.37
122,1741199967219,1158.60
123,1741199968501,1253.25
124,1741199969727,1224.68
125,1741199971754,2022.15
126,1741199973175,1421.35
127,1741199973914,737.74
128,1741199975239,1325.20
129,1741199976795,1555.29
130,1741199979064,2268.56
1,1741199991959,79.15
2,1741199992426,45.69
3,1741199992981,100.14
4,1741199993519,138.48
5,1741199994020,140.15
6,1741199994495,114.65
7,1741199995006,126.23
8,1741199995504,124.17
9,1741199995989,109.08
10,1741199996494,112.85
11,1741199997131,237.64
12,1741199997542,148.65
13,1741199998071,173.23
14,1741199998743,346.39
15,1741199999141,127.09
16,1741199999662,147.76
17,1741200000205,189.96
18,1741200000921,276.59
19,1741200001409,248.94
20,1741200001844,184.45
21,1741200002314,153.58
22,1741200003193,531.58
23,1741200003392,198.17
24,1741200003952,257.36
25,1741200004384,189.31
26,1741200004887,192.20
27,1741200005441,244.73
28,1741200006000,290.82
29,1741200006445,235.85
30,1741200006968,258.54
31,1741200007380,170.19
32,1741200007898,188.60
33,1741200008536,326.02
34,1741200009364,652.49
35,1741200009600,234.64
36,1741200010309,442.68
37,1741200011258,887.65
38,1741200011692,433.87
39,1741200012004,244.90
40,1741200012633,370.28
41,1741200013043,280.20
42,1741200013545,281.98
43,1741200014059,295.67
1,1741200024850,37.96
2,1741200025337,24.70
3,1741200025833,21.79
4,1741200026356,44.21
5,1741200026839,26.14
6,1741200027342,29.45
7,1741200027859,46.73
8,1741200028344,30.69
9,1741200028905,92.37
10,1741200029404,90.80
11,1741200029903,89.62
12,1741200030391,78.09
13,1741200030894,80.99
14,1741200031418,104.78
15,1741200031889,74.71
16,1741200032400,85.12
17,1741200032966,117.10
18,1741200033437,87.80
19,1741200034039,187.07
20,1741200034638,285.74
21,1741200034955,103.06
22,1741200035418,66.15
23,1741200035952,99.12
24,1741200036430,76.51
25,1741200036950,96.81
26,1741200037467,113.26
27,1741200037951,92.37
28,1741200038430,70.52
29,1741200039026,165.82
30,1741200039482,120.38
31,1741200039938,76.56
32,1741200040431,68.68
33,1741200040963,101.36
34,1741200041439,76.41
35,1741200041945,81.35
36,1741200042445,81.06
37,1741200042965,100.44
38,1741200043496,131.34
39,1741200043978,113.23
40,1741200044473,107.36
41,1741200045015,148.53
42,1741200045554,186.63
43,1741200046034,166.37
44,1741200046558,190.26
45,1741200047126,258.06
46,1741200047687,318.19
47,1741200048204,335.13
48,1741200048663,293.98
49,1741200049201,331.19
50,1741200049695,324.25
51,1741200050211,339.35
52,1741200050714,342.31
53,1741200051300,426.99
54,1741200051732,358.78
55,1741200052197,322.93
56,1741200052760,386.06
57,1741200053224,348.93
58,1741200053697,321.59
59,1741200054200,324.54
60,1741200054742,366.79
61,1741200055191,314.76
62,1741200055743,367.54
63,1741200056222,345.88
64,1741200056668,290.23
65,1741200057192,315.16
66,1741200057746,367.05
67,1741200058252,371.99
68,1741200058741,359.76
69,1741200059203,321.99
70,1741200059937,408.98
71,1741200060418,391.01
72,1741200060888,360.03
73,1741200061402,373.87
74,1741200061854,325.50
75,1741200062436,404.64
76,1741200062983,451.98
77,1741200063453,420.72
78,1741200063951,417.08
79,1741200064388,353.51
80,1741200064902,366.52
81,1741200065487,449.63
82,1741200065975,436.93
83,1741200066512,474.28
84,1741200066928,389.63
85,1741200067418,380.84
86,1741200067916,378.05
87,1741200068435,397.30
88,1741200069175,637.15
89,1741200069649,473.89
90,1741200070122,446.52
91,1741200070635,458.23
92,1741200071267,589.10
93,1741200071704,437.49
94,1741200072171,402.85
95,1741200072676,407.40
96,1741200073213,443.53
97,1741200073697,426.29
98,1741200074242,471.88
99,1741200074727,457.08
100,1741200075210,440.55
101,1741200075792,521.47
102,1741200076311,518.87
103,1741200076922,610.40
104,1741200077426,503.27
105,1741200077913,487.64
106,1741200078458,531.71
107,1741200078941,483.07
108,1741200079434,475.78
109,1741200079955,496.93
110,1741200080415,456.84
111,1741200081088,629.68
112,1741200081537,449.06
113,1741200082209,619.91
114,1741200082712,502.40
115,1741200083339,626.58
116,1741200083876,535.67
117,1741200084419,543.47
118,1741200085004,584.51
119,1741200085569,563.60
120,1741200086269,699.34
121,1741200086867,597.60
122,1741200087474,574.40
123,1741200088001,526.91
124,1741200088617,599.70
125,1741200089196,578.56
126,1741200089754,557.38
127,1741200090481,726.43
128,1741200091138,656.37
129,1741200091869,730.49
130,1741200092645,776.09
131,1741200093352,705.88
132,1741200094016,628.55
133,1741200094656,640.39
134,1741200095299,642.18
135,1741200095968,668.27
136,1741200096639,670.84
137,1741200097340,700.17
138,1741200098032,691.90
139,1741200098783,721.48
140,1741200099438,654.23
141,1741200100058,619.57
142,1741200100817,757.68
143,1741200101522,704.30
144,1741200102133,610.46
145,1741200102749,615.59
146,1741200103601,851.61
147,1741200104342,740.67
148,1741200105009,666.45
149,1741200105733,723.51
150,1741200106467,733.49
151,1741200107128,658.92
152,1741200108074,944.92
153,1741200109511,1436.92
154,1741200110903,1356.36
155,1741200111918,1014.44
156,1741200112654,735.05
157,1741200113342,644.20
158,1741200114009,666.74
159,1741200114628,618.41
160,1741200115545,915.88
161,1741200116142,596.42
162,1741200116776,634.07
163,1741200117486,709.49
164,1741200118070,583.38
165,1741200118654,566.04
166,1741200119240,584.77
167,1741200119801,560.96
168,1741200120621,819.58
169,1741200121177,537.27
170,1741200121803,626.29
171,1741200122335,531.39
172,1741200122969,617.32
173,1741200123519,548.72
174,1741200124096,577.16
175,1741200124713,616.56
176,1741200125247,532.77
177,1741200125863,595.52
178,1741200126500,636.30
179,1741200127117,616.36
180,1741200127710,553.52
181,1741200128320,608.95
182,1741200128992,649.25
183,1741200129612,619.27
184,1741200130232,619.08
185,1741200130829,596.11
186,1741200131643,813.22
187,1741200132298,654.16
188,1741200132968,669.08
189,1741200133552,583.61
190,1741200134070,517.32
191,1741200134708,583.14
192,1741200135285,577.12
193,1741200136030,744.36
194,1741200136675,644.50
195,1741200137297,621.26
196,1741200137916,530.68
197,1741200138538,621.91
198,1741200139132,593.22
199,1741200139668,535.99
200,1741200140222,505.92
201,1741200140787,565.21
202,1741200141406,617.73
203,1741200141913,506.63
204,1741200142563,594.82
205,1741200143481,918.09
206,1741200144736,1254.33
207,1741200146071,1334.38
208,1741200146901,828.56
209,1741200147837,935.61
210,1741200148538,699.99
211,1741200149118,578.35
212,1741200149904,785.13
213,1741200151289,1107.86
1,1741200161059,61.30
2,1741200161557,59.94
3,1741200162049,50.96
4,1741200162615,117.08
5,1741200163073,74.02
6,1741200163606,107.35
7,1741200164075,75.16
8,1741200164608,108.82
9,1741200165106,106.46
10,1741200165594,95.16
11,1741200166093,92.91
12,1741200166605,103.85
13,1741200167110,108.21
14,1741200167655,152.60
15,1741200168137,134.59
16,1741200168702,199.47
17,1741200169340,317.17
18,1741200169720,197.20
19,1741200170323,300.00
20,1741200170706,181.93
21,1741200171229,205.31
22,1741200171756,232.33
23,1741200172361,337.66
24,1741200172899,374.72
25,1741200173265,240.39
26,1741200173799,273.45
27,1741200174382,355.56
28,1741200174778,251.68
29,1741200175321,294.52
30,1741200175761,232.70
31,1741200176259,229.81
32,1741200176845,314.55
33,1741200177256,223.53
34,1741200177756,223.61
35,1741200178311,278.46
36,1741200179057,495.06
37,1741200179457,394.33
38,1741200180022,453.82
39,1741200180445,375.82
40,1741200181274,704.39
41,1741200181733,453.98
42,1741200182274,494.45
43,1741200183055,776.24
44,1741200183741,677.80
45,1741200184532,789.81
46,1741200185465,929.53
47,1741200186303,836.75
1,1741200577752,41.47
2,1741200578270,58.95
3,1741200578749,36.30
4,1741200579308,94.18
5,1741200579801,85.49
6,1741200580488,271.76
7,1741200580792,75.13
8,1741200581311,92.61
9,1741200581794,76.58
10,1741200582277,58.14
11,1741200582784,64.42
12,1741200583294,75.03
13,1741200583790,70.43
14,1741200584261,40.96
1,1741200602627,47.17
2,1741200603115,34.65
3,1741200603621,40.55
4,1741200604133,51.26
5,1741200604653,70.50
6,1741200605263,179.67
7,1741200605708,124.20
8,1741200606167,84.11
9,1741200606649,65.53
10,1741200607152,68.15
11,1741200607732,147.72
12,1741200608415,327.57
13,1741200608942,356.01
14,1741200609457,367.51
15,1741200609738,148.71
16,1741200610242,153.38
17,1741200610935,345.23
18,1741200612059,957.39
19,1741200612754,618.43
20,1741200612955,200.49
21,1741200613389,133.59
22,1741200613848,91.80
23,1741200614355,98.19
24,1741200614840,82.57
25,1741200615367,108.00
26,1741200615821,62.10
27,1741200616370,111.43
28,1741200616854,95.25
29,1741200617355,95.78
30,1741200617845,86.26
31,1741200618350,90.47
32,1741200619047,286.17
33,1741200619474,213.43
34,1741200620010,249.23
35,1741200620418,157.49
36,1741200620998,236.59
37,1741200621494,232.39
38,1741200621933,169.94
39,1741200622561,297.38
40,1741200622950,186.65
41,1741200623448,183.42
42,1741200623941,175.66
43,1741200624440,173.91
44,1741200625033,265.78
45,1741200625453,186.12
46,1741200625959,191.26
47,1741200626434,166.83
48,1741200626962,194.90
49,1741200627487,219.30
50,1741200628058,290.99
51,1741200628585,316.82
52,1741200629053,285.31
53,1741200629816,547.04
54,1741200630004,187.51
55,1741200630654,334.75
56,1741200631179,359.54
57,1741200631648,327.55
58,1741200632389,568.49
59,1741200632836,445.15
60,1741200633252,347.36
61,1741200633604,199.79
